model_id,repository,revision,data_sources,excluded_source_audit,evidence_paths,evidence_sha256,license_id,license_uri,license_scope,source_origin,attribution,projection_semantics,conflict_semantics,lowercase,policy_version,source_rows,accepted_rows,rejected_rows,rejection_counts,source_audit,cross_source_conflict_assignments,cross_source_conflicting_surfaces,intrinsic_ambiguous_surfaces,output_groups,output_forms,output_sha256
csb-default,https://github.com/unimorph/csb,62793ce5aa6e76c3a7742180f0d0a90a6906ceb7,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""csb"",""schema"":""lemma-form-features"",""sha256"":""d0ed4a231e1dab2c081d56af1f7996ad77f40bb38c281391052f4f51a42ee9dd""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:14fb477ea369b14c23c053056f5e91f050c220eb7b458bd2b359253022460cc2,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: csb,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,548,509,39,blank-row=39,"[{""accepted_rows"":509,""added_changed_pairs"":318,""added_distinct_surfaces"":350,""added_groups"":37,""added_output_forms"":355,""added_source_pairs"":355,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":5,""key"":""primary"",""path"":""csb"",""rejected_rows"":39,""rejection_counts"":{""blank-row"":39},""source_rows"":548}]",0,0,5,37,355,32cf30a085941969f1acc4149152d515efa99fd1061c4ddd9eb1049e5cc3097b
ctp-default,https://github.com/unimorph/ctp,f006ec4502b3e0b1512dbcf1136c44f593fa4910,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""ctp"",""schema"":""lemma-form-features"",""sha256"":""44c971c0a58890b22dd787e01f6801ff39dbef7e466330ae3d85006a7578ac8f""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:505a0c6008298e1e39729b681df3cbbe7fa13f144f968872a05ee4269827a7e4,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: ctp,Not stated in pinned repository evidence,UniMorph; Antonis Anastasopoulos,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,3796,3745,51,form-unicode-whitespace=15;lemma-unicode-whitespace=36,"[{""accepted_rows"":3745,""added_changed_pairs"":2490,""added_distinct_surfaces"":2597,""added_groups"":220,""added_output_forms"":2710,""added_source_pairs"":2490,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":110,""key"":""primary"",""path"":""ctp"",""rejected_rows"":51,""rejection_counts"":{""form-unicode-whitespace"":15,""lemma-unicode-whitespace"":36},""source_rows"":3796}]",0,0,110,220,2710,36b5b636f158d0d65762e87c2125617847cf1b8c6fd766ddf4c42e4343b39122
czn-default,https://github.com/unimorph/czn,42c150c93bd81252592961e206e09a1aa64865b9,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""czn"",""schema"":""lemma-form-features"",""sha256"":""97320a5eae3a7e431e7818e1b7de3184133b205b2ba575d0113aebc9e194900f""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:bb5519ab5604eccf14b9a25a78797588c36fdcaf8ed3362d6f64dd4009a6355d,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: czn,Not stated in pinned repository evidence,UniMorph; Antonis Anastasopoulos,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,1567,1558,9,form-unicode-whitespace=8;form-unsupported-character=1,"[{""accepted_rows"":1558,""added_changed_pairs"":1529,""added_distinct_surfaces"":1864,""added_groups"":386,""added_output_forms"":1915,""added_source_pairs"":1538,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":45,""key"":""primary"",""path"":""czn"",""rejected_rows"":9,""rejection_counts"":{""form-unicode-whitespace"":8,""form-unsupported-character"":1},""source_rows"":1567}]",0,0,45,386,1915,f8d1d16cfd2a023c322a50965f7437944cad928f716c268a18eccb39c4dab66a
dak-default,https://github.com/unimorph/dak,e374c530a660fcf13252bc473adcec409b9b302b,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""dak"",""schema"":""lemma-form-features"",""sha256"":""22e3bb08024f02cb41d6008d32476d58903ce8851eecdbf2ae51534194cbbe4a""}]","[{""detail"":""Duplicate .args projection was audited and excluded; only bel.args, grc.args, and hye.args add an approved compatible projection."",""path"":""dak.args"",""reason"":""duplicate-args""}]",README.md:evidence-00-README.md,evidence-00-README.md:2935dca0cfb5026f440fec13532529e3256c76587c2f3cebd6466dd9ad31d3e9,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: dak,Not stated in pinned repository evidence,UniMorph; Eleanor Chodroff,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,3766,3318,448,form-unicode-whitespace=7;lemma-unicode-whitespace=441,"[{""accepted_rows"":3318,""added_changed_pairs"":2885,""added_distinct_surfaces"":3332,""added_groups"":473,""added_output_forms"":3358,""added_source_pairs"":3307,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":26,""key"":""primary"",""path"":""dak"",""rejected_rows"":448,""rejection_counts"":{""form-unicode-whitespace"":7,""lemma-unicode-whitespace"":441},""source_rows"":3766}]",0,0,26,473,3358,a867bb0f4165fc47b0906c179213d8563088a3e5f13d161120a2556fa1d9032a
dje-default,https://github.com/unimorph/dje,64cb65268fcf1c871b19936f1a279d25a5cc57ce,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""dje"",""schema"":""lemma-form-features"",""sha256"":""b56899db64dc093417f880ed1849d1bd29fcfaa3c30b12a46671db0cb9ad9fd4""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:54a82e4dbef1b01fc96c66b98d4e95628331dae54cc2efcad49f56e8279d39a9,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: dje,Not stated in pinned repository evidence,UniMorph; Ran Zmigrod,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,84,84,0,,"[{""accepted_rows"":84,""added_changed_pairs"":54,""added_distinct_surfaces"":81,""added_groups"":27,""added_output_forms"":81,""added_source_pairs"":81,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":0,""key"":""primary"",""path"":""dje"",""rejected_rows"":0,""rejection_counts"":{},""source_rows"":84}]",0,0,0,27,81,e4a09508fed786d640720e44077b59abb5dac9d154712a2a0d721f2300ae20df
dsb-default,https://github.com/unimorph/dsb,f94b5f674fcef872fbab5efe24fb279a7246ee6f,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""dsb"",""schema"":""lemma-form-features"",""sha256"":""b02f3ac94a8bac60c1bf016ce340d6e8f10bec551d56b7f81a13e7746b582491""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:be143e8ed0199fe60b5c82441c6b8bcf2bcfccafe3498f061348955ec2617865,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: dsb,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,20122,20061,61,blank-row=1;lemma-unicode-whitespace=60,"[{""accepted_rows"":20061,""added_changed_pairs"":11206,""added_distinct_surfaces"":12039,""added_groups"":990,""added_output_forms"":12196,""added_source_pairs"":12058,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":156,""key"":""primary"",""path"":""dsb"",""rejected_rows"":61,""rejection_counts"":{""blank-row"":1,""lemma-unicode-whitespace"":60},""source_rows"":20122}]",0,0,156,990,12196,0910f3977f825457d7f64f988c984a0400824e4d696991261211d3e29ad02d92
el-gr-default,https://github.com/unimorph/ell,fce1186efc7c8036fe2b6a13c110c2f2cd140e38,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""ell"",""schema"":""lemma-form-features"",""sha256"":""68f71b889fa29d31d975ebbc29f9f0f1b3a2dd6cca4f40a21b2c06f443811941""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:667e15934d85cc0a311118d3f004c9e299052a25653b0db7eaf9ca931effc451,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: ell,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,211923,149290,62633,blank-row=12166;form-unicode-whitespace=50011;lemma-unicode-whitespace=456,"[{""accepted_rows"":149290,""added_changed_pairs"":68527,""added_distinct_surfaces"":76869,""added_groups"":11793,""added_output_forms"":80320,""added_source_pairs"":80054,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":2336,""key"":""primary"",""path"":""ell"",""rejected_rows"":62633,""rejection_counts"":{""blank-row"":12166,""form-unicode-whitespace"":50011,""lemma-unicode-whitespace"":456},""source_rows"":211923}]",0,0,2336,11793,80320,05ecc1b60b714c64ab5b6d29aef1a9544f0594f98640e5c66dd9ac324672ac79
et-ee-default,https://github.com/unimorph/est,97663990872e6bbc06701839d33462833676ebc2,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""est"",""schema"":""lemma-form-features"",""sha256"":""602b778567b4607514ee380152fe8a6ccd70dbc15190339f7f5a6d9a710b899f""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:dee0ff4e57b5133dcfed8ff147aae36fad03814cab6997de3f4aa921ee58e9c7,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: est,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,39105,27454,11651,blank-row=890;form-unicode-whitespace=10761,"[{""accepted_rows"":27454,""added_changed_pairs"":24004,""added_distinct_surfaces"":24811,""added_groups"":886,""added_output_forms"":24890,""added_source_pairs"":24890,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":72,""key"":""primary"",""path"":""est"",""rejected_rows"":11651,""rejection_counts"":{""blank-row"":890,""form-unicode-whitespace"":10761},""source_rows"":39105}]",0,0,72,886,24890,0d7da990392011b0312fdee181720c2778ff07581912c718b8e7c1d07267c735
evn-default,https://github.com/unimorph/evn,cdbe7b44ba754403d60fd38818ac173bec13ba34,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""evn"",""schema"":""lemma-form-features"",""sha256"":""9406c3d0779ac05d2ce731cbc20f7db525a0e81459917ac47c6b7b581eb8ecff""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:12adffd294065025f16538a9c81a4a65067f016394fa0bb070f3985dab49b6bd,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: evn,TBA,UniMorph; Elena Klyachko,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,11371,11368,3,form-unicode-whitespace=1;lemma-unsupported-character=2,"[{""accepted_rows"":11368,""added_changed_pairs"":9162,""added_distinct_surfaces"":13549,""added_groups"":4493,""added_output_forms"":13655,""added_source_pairs"":10995,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":71,""key"":""primary"",""path"":""evn"",""rejected_rows"":3,""rejection_counts"":{""form-unicode-whitespace"":1,""lemma-unsupported-character"":2},""source_rows"":11371}]",0,0,71,4493,13655,4ff0de56329166d6d84c8443f0d6223507874854930b2ba2a339bc8be5045c0f
fo-fo-default,https://github.com/unimorph/fao,82bf05c94fbb54e13a48e0dac49a805d766e834e,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""fao"",""schema"":""lemma-form-features"",""sha256"":""8c5282080aa840158c2073c9b9a658374ed3c96e28c7c0e42ef94ebbb039ca23""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:689938a03c8595e963d453b80a0f0543263041523a0de1cf1b40af0d2b6591c5,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: fao,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,45475,45474,1,blank-row=1,"[{""accepted_rows"":45474,""added_changed_pairs"":30256,""added_distinct_surfaces"":31366,""added_groups"":3077,""added_output_forms"":33333,""added_source_pairs"":33309,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":1491,""key"":""primary"",""path"":""fao"",""rejected_rows"":1,""rejection_counts"":{""blank-row"":1},""source_rows"":45475}]",0,0,1491,3077,33333,c5ab9a35317d6cfbba64e8a4a441c1a8a5c3a922384631941804d0bf4eb81fc0
frm-default,https://github.com/unimorph/frm,7baa5932dbdd25f5f8c5d55c43a76e972b18cf8f,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""frm"",""schema"":""lemma-form-features"",""sha256"":""45af05cce1284b1c07fac6a4179adf075e56691c5f0885323c33ba3eba800927""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:69c537514d97c2db37f3f003e528ff5ad51b437e4ffd89062db3e0c351330f3e,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: frm,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,37805,36260,1545,blank-row=835;form-unicode-whitespace=710,"[{""accepted_rows"":36260,""added_changed_pairs"":26711,""added_distinct_surfaces"":27102,""added_groups"":603,""added_output_forms"":27314,""added_source_pairs"":27314,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":212,""key"":""primary"",""path"":""frm"",""rejected_rows"":1545,""rejection_counts"":{""blank-row"":835,""form-unicode-whitespace"":710},""source_rows"":37805}]",0,0,212,603,27314,e4ed58dd8e6d2305bccf46d2b8273d663d2def09fce1046063a4e27b88a82cb7
fro-default,https://github.com/unimorph/fro,7b0937f7ca90103b390e93f9bfab026e8daedff2,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""fro"",""schema"":""lemma-form-features"",""sha256"":""18dcf34c57321db9c8646435bf34ca3f69d4142a22e90a8387d71a7a0d3083f3""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:e01c48fceb3520052bb974f50dbd92b84810b4480ba763447a64750acea2cf16,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: fro,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,125379,121679,3700,blank-row=2005;form-unicode-whitespace=1695,"[{""accepted_rows"":121679,""added_changed_pairs"":103645,""added_distinct_surfaces"":94338,""added_groups"":1699,""added_output_forms"":105344,""added_source_pairs"":105329,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":9557,""key"":""primary"",""path"":""fro"",""rejected_rows"":3700,""rejection_counts"":{""blank-row"":2005,""form-unicode-whitespace"":1695},""source_rows"":125379}]",0,0,9557,1699,105344,dab25d905a872c0623c952c102a958f72b6cf7fe39665c12e8a320b5455a9418
frr-default,https://github.com/unimorph/frr,7882e34f921ba75a87166a648759764b702b2a26,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""frr"",""schema"":""lemma-form-features"",""sha256"":""da965a38e2a824cc778d2bf98b36c6ea5d42882dc4c86c47c222919bfbe66131""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:61d3be50c8aff9cd0a8512aeb75954edf65b3b27e116bb05c23c2b1e119a3d1b,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: frr,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,3257,1267,1990,blank-row=53;form-unicode-whitespace=1937,"[{""accepted_rows"":1267,""added_changed_pairs"":330,""added_distinct_surfaces"":364,""added_groups"":51,""added_output_forms"":381,""added_source_pairs"":381,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":17,""key"":""primary"",""path"":""frr"",""rejected_rows"":1990,""rejection_counts"":{""blank-row"":53,""form-unicode-whitespace"":1937},""source_rows"":3257}]",0,0,17,51,381,d92dacea73857c8ddef8113c70a0c72eb5b1d1f6796ef1a4b640993aabc544c4
fur-default,https://github.com/unimorph/fur,cba86dc9e8d980e415ce4d0b89fa90a3eca33648,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""fur"",""schema"":""lemma-form-features"",""sha256"":""7f8242fe8d5b2d70ab6f014ab63811e6952956b520e803751c27e0ec7bcc5c2d""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:212494d39e117fb0fea7ca3e48621593cd5e59d71ced68b6d7082044a7852265,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: fur,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,8241,8071,170,blank-row=170,"[{""accepted_rows"":8071,""added_changed_pairs"":4849,""added_distinct_surfaces"":5007,""added_groups"":168,""added_output_forms"":5017,""added_source_pairs"":5015,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":10,""key"":""primary"",""path"":""fur"",""rejected_rows"":170,""rejection_counts"":{""blank-row"":170},""source_rows"":8241}]",0,0,10,168,5017,279631dc8998d6d55a2707d7746ba0e50fe9e5b7f1279e128ac48a70dcf06685
ga-ie-default,https://github.com/unimorph/gle,efdca3ead351c804224b97336c3bcef8c78b6015,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""gle"",""schema"":""lemma-form-features"",""sha256"":""88b9c0dee797fc16a20486ff300b70f94770847406364f473a03e86cc30173cb""}]","[{""detail"":""Duplicate .args projection was audited and excluded; only bel.args, grc.args, and hye.args add an approved compatible projection."",""path"":""gle.args"",""reason"":""duplicate-args""},{""detail"":""Derivational data is outside the inflectional stem-form model contract."",""path"":""gle.derivations"",""reason"":""derivation""}]",README.md:evidence-00-README.md,evidence-00-README.md:d5ffa4d49dd90c11b4298525b4e12cd48ff3529b49fc3dfcfcaaca9317067c50,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: gle,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,114797,45083,69714,blank-row=7499;form-unicode-whitespace=59977;lemma-unicode-whitespace=2238,"[{""accepted_rows"":45083,""added_changed_pairs"":17246,""added_distinct_surfaces"":24035,""added_groups"":7287,""added_output_forms"":24533,""added_source_pairs"":24501,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":451,""key"":""primary"",""path"":""gle"",""rejected_rows"":69714,""rejection_counts"":{""blank-row"":7499,""form-unicode-whitespace"":59977,""lemma-unicode-whitespace"":2238},""source_rows"":114797}]",0,0,451,7287,24533,b669438f4375857896dcf9adc535f46f25ddc12c2c163b6980dc33564c48991b
gaa-default,https://github.com/unimorph/gaa,38a58c09fae385f486ff0df662728ce5380d3f14,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""gaa"",""schema"":""lemma-form-features"",""sha256"":""64af244dd2337519b702866f3b42fd4c14c1e43049e9b3443824baf7f9769952""}]",[],README.md:evidence-00-README.md,evidence-00-README.md:5f9197299d09375c5e1a48548a0a8be35eec718adb012617eda6d3aa2ed18103,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: gaa,Not stated in pinned repository evidence,UniMorph; Tiago Pimentel,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,909,900,9,lemma-unicode-whitespace=9,"[{""accepted_rows"":900,""added_changed_pairs"":376,""added_distinct_surfaces"":469,""added_groups"":94,""added_output_forms"":470,""added_source_pairs"":470,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":1,""key"":""primary"",""path"":""gaa"",""rejected_rows"":9,""rejection_counts"":{""lemma-unicode-whitespace"":9},""source_rows"":909}]",0,0,1,94,470,981733932ac87c90b142c9230e721513d642bac1d25f131a9c36643015b68108
gal-default,https://github.com/unimorph/gal,7927b7b3b2379df0870c23fafb6481bda214c572,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""gal"",""schema"":""lemma-form-features"",""sha256"":""93945d193c6bb8ee3370446ba722f04a4c893c20082edd9ca735b677f135b1fc""}]","[{""detail"":""Derivational data is outside the inflectional stem-form model contract."",""path"":""gal.derivations"",""reason"":""derivation""}]",README.md:evidence-00-README.md,evidence-00-README.md:c04984575298c35460e515344418f2a8b03459827fadec57f86ccfcac806a610,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: gal,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,37309,36801,508,blank-row=508,"[{""accepted_rows"":36801,""added_changed_pairs"":25709,""added_distinct_surfaces"":25436,""added_groups"":486,""added_output_forms"":26195,""added_source_pairs"":26186,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":752,""key"":""primary"",""path"":""gal"",""rejected_rows"":508,""rejection_counts"":{""blank-row"":508},""source_rows"":37309}]",0,0,752,486,26195,d57ad44d8863d70fb6c28152de8e96b1480ae66b9bacd59a27f7f0e9aa44f566
gmh-default,https://github.com/unimorph/gmh,768cb5bafa6343f2f99b1422e42ddde539517a35,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""gmh"",""schema"":""lemma-form-features"",""sha256"":""65dde098c278090626ee3daf80e7a86e303b6022a406263d23082932fa9cdcdb""}]","[{""detail"":""Duplicate .args projection was audited and excluded; only bel.args, grc.args, and hye.args add an approved compatible projection."",""path"":""gmh.args"",""reason"":""duplicate-args""}]",README.md:evidence-00-README.md,evidence-00-README.md:0276d9433ef6bf119c3f2fb9d4b089fd360e9794ec56a09d7ff661ef491fd786,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: gmh,Wikipedia,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,739,708,31,blank-row=31,"[{""accepted_rows"":708,""added_changed_pairs"":355,""added_distinct_surfaces"":384,""added_groups"":29,""added_output_forms"":384,""added_source_pairs"":377,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":0,""key"":""primary"",""path"":""gmh"",""rejected_rows"":31,""rejection_counts"":{""blank-row"":31},""source_rows"":739}]",0,0,0,29,384,9dfcff6fca22db34b3206e35ab50e1e7d91fd4ce81fd50b6a7461d8f6fe3e5d6
gml-default,https://github.com/unimorph/gml,8a6c09f6b88e61fd93293298b6d7be3ac2014c9a,"[{""exceptions"":""none"",""key"":""primary"",""local_name"":""data"",""path"":""gml"",""schema"":""lemma-form-features"",""sha256"":""590f04652e2135241b99decde4e83d46c70901cf79ce7daded3c20cd0753872f""}]","[{""detail"":""Duplicate .args projection was audited and excluded; only bel.args, grc.args, and hye.args add an approved compatible projection."",""path"":""gml.args"",""reason"":""duplicate-args""}]",README.md:evidence-00-README.md,evidence-00-README.md:a3fc2403f9764d5c628b5e206135f32c5378fc8f0d597accfe4c29ed995a4931,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Selected repository data files at pinned revision: gml,Not stated in pinned repository evidence,UniMorph,Each declared three-column source directly projects lemma and surface form.,All valid lemma-form assignments are retained. Surface ambiguity is reported explicitly and is never resolved by dropping or overwriting an assignment.,true,radixor-unimorph-import-v1,1529,1288,241,form-unicode-whitespace=241,"[{""accepted_rows"":1288,""added_changed_pairs"":581,""added_distinct_surfaces"":624,""added_groups"":54,""added_output_forms"":635,""added_source_pairs"":635,""cross_source_conflict_assignments"":0,""cross_source_conflicting_surfaces"":0,""intrinsic_ambiguous_surfaces"":11,""key"":""primary"",""path"":""gml"",""rejected_rows"":241,""rejection_counts"":{""form-unicode-whitespace"":241},""source_rows"":1529}]",0,0,11,54,635,3461579139d22f110969530d3a88820895c0e6818efc988c025549787e7c54da
